City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-joseph,-21.3667,55.6167,23.21,85,8,1.56,RE,1682462617
84,papatowai,-46.5619,169.4708,10.9,71,89,7.29,NZ,1682462606
85,hasaki,35.7333,140.8333,16.22,85,100,10.5,JP,1682462649
86,cabedelo,-6.9811,-34.8339,27.37,87,100,4.61,BR,1682462722
87,crane,31.3974,-102.3501,29.18,14,0,2.31,US,1682462600
88,nuuk,64.1835,-51.7216,0.34,100,75,9.26,GL,1682462648
89,bilibino,68.0546,166.4372,-4.34,56,32,0.08,RU,1682462644
90,lihue,21.9789,-159.3672,27.58,68,100,7.72,US,1682462603
91,taoudenni,22.6783,-3.9836,30.42,12,3,5.08,ML,1682462670
92,uturoa,-16.7333,-151.4333,28.07,75,20,4.94,PF,1682462911
93,bamboo flat,11.7,92.7167,27.23,77,97,1.49,IN,1682462912
94,atafu village,-8.5421,-172.5159,29.17,74,51,6.43,TK,1682462624
95,buckeye,33.3703,-112.5838,33.79,16,0,6.69,US,1682462689
96,puerto ayora,-0.7393,-90.3518,28.98,89,37,2.68,EC,1682462615
97,kabalo,-6.05,26.9167,21.63,95,44,0.25,CD,1682462914
98,yarmouth,41.7057,-70.2286,12.86,86,75,3.09,US,1682462914
99,severo-yeniseyskiy,60.3725,93.0408,-5.58,95,99,1.92,RU,1682462914
100,kodiak,57.79,-152.4072,5.73,75,75,6.69,US,1682462780
101,ola,59.5833,151.2833,0.08,77,98,2.82,RU,1682462915
102,narnaul,28.0444,76.1083,25.24,26,84,2.52,IN,1682462913
103,antsohihy,-14.8796,47.9875,23.62,91,53,0.54,MG,1682462915
104,kuqa,41.7278,82.9364,15.33,23,100,4.37,CN,1682462916
105,kulykivka,51.3735,31.6466,11.78,59,93,2.53,UA,1682462916
106,doba,8.65,16.85,32.86,31,67,0.16,TD,1682462917
107,tucurui,-3.7661,-49.6725,26.17,77,90,1.61,BR,1682462917
108,sao lourenco do oeste,-26.3592,-52.8511,15.8,98,100,1.44,BR,1682462918
109,flying fish cove,-10.4217,105.6791,27.11,77,100,3.24,CX,1682462918
110,saipan,15.1355,145.701,28.39,100,40,9.26,MP,1682462612
111,thinadhoo,0.5333,72.9333,28.4,78,100,5.69,MV,1682462919
112,pacific grove,36.6177,-121.9166,24.8,76,0,3.58,US,1682462919
113,looe,50.3578,-4.4542,9.44,70,99,6.94,GB,1682462920
114,jiagedaqi,50.4167,124.1167,2.08,34,94,0.72,CN,1682462920
115,alaghsas,17.0187,8.0168,29.47,12,0,3.26,NE,1682462921
116,santo antonio,-6.3106,-35.4789,23.43,93,100,2.62,BR,1682462922
117,port saint john's,-31.6229,29.5448,22.02,90,80,3.59,ZA,1682462922
118,ta`u,-14.2336,-169.5144,27.88,70,52,2.16,AS,1682462923
119,dauphin,51.1494,-100.0502,10.08,43,0,2.57,CA,1682462924
120,retreat,38.8245,-85.8533,17.53,63,64,2.9,US,1682462924
121,margaret river,-33.95,115.0667,16.06,74,100,7.88,AU,1682462613
122,tomatlan,19.9333,-105.25,28.98,34,100,4.59,MX,1682462778
123,margate,51.3813,1.3862,6.5,75,54,0.89,GB,1682462707
124,dudinka,69.4058,86.1778,-0.21,98,100,3.54,RU,1682462926
125,remire-montjoly,4.9167,-52.2667,24.02,94,75,5.14,GF,1682462927
126,iskushuban,10.2837,50.23,26.8,73,25,3.67,SO,1682462928
127,trogir,43.5125,16.2517,13.03,76,100,3.09,HR,1682462928
128,coquimbo,-29.9533,-71.3436,14.85,94,75,4.63,CL,1682462651
129,ak'ordat,15.5486,37.8867,28.87,49,3,1.48,ER,1682462929
130,whitehorse,60.7161,-135.0538,6.43,35,40,7.2,CA,1682462376
131,pisco,-13.7,-76.2167,24.03,73,0,6.69,PE,1682462930
132,saint-louis,16.3333,-15.0,30.8,30,2,7.35,SN,1682462642
133,los llanos de aridane,28.6585,-17.9182,17.86,89,0,2.06,ES,1682462930
134,sorong,-0.8833,131.25,27.49,79,86,1.1,ID,1682462931
135,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,52,75,3.0,RU,1682462635
136,isafjordur,66.0755,-23.124,-1.55,62,6,2.56,IS,1682462636
137,slave lake,55.2834,-114.769,7.99,39,40,10.29,CA,1682462701
138,sisimiut,66.9395,-53.6735,0.88,98,100,2.03,GL,1682462933
139,hopelchen,19.7667,-89.85,36.49,31,100,2.0,MX,1682462934
140,walvis bay,-22.9575,14.5053,18.53,77,0,2.57,NA,1682462618
141,tazacorte,28.629,-17.9293,19.54,89,0,2.06,ES,1682462934
142,fort mcmurray,56.7268,-111.381,6.77,75,40,2.57,CA,1682462671
143,antonio enes,-16.2325,39.9086,25.31,66,91,4.12,MZ,1682462935
144,geraldton,-28.7667,114.6,16.23,77,40,4.63,AU,1682462936
145,ponta pora,-22.5361,-55.7256,18.71,95,28,2.24,BR,1682462938
146,pandan,14.0453,124.1694,26.9,81,28,3.83,PH,1682462621
147,badger,64.8,-147.5333,2.78,45,40,3.6,US,1682462939
148,chibougamau,49.9168,-74.3659,6.79,76,40,2.06,CA,1682462939
149,oamaru,-45.0784,170.9801,10.77,68,61,7.78,NZ,1682462939
150,igarka,67.4667,86.5833,-2.82,97,100,4.23,RU,1682462940
151,avarua,-21.2078,-159.775,28.03,69,74,2.57,CK,1682462628
152,nicoya,10.1483,-85.452,30.55,57,38,2.17,CR,1682462941
153,skidaway island,31.9349,-81.0471,21.1,81,79,3.58,US,1682462941
154,ailuk,10.2197,169.9797,27.44,79,100,8.31,MH,1682462942
155,trenton,40.217,-74.7429,15.1,36,0,3.09,US,1682462943
156,kayangel,8.0823,134.7173,28.53,73,24,3.39,PW,1682462642
157,paoua,7.2427,16.4406,27.28,51,89,2.06,CF,1682462944
158,bethel,41.3712,-73.414,13.69,48,100,2.06,US,1682462601
159,new norfolk,-42.7826,147.0587,14.39,62,0,1.33,AU,1682462945
160,okhotsk,59.3833,143.3,0.2,87,97,3.83,RU,1682462945
161,carnarvon,-24.8667,113.6333,16.43,67,0,6.63,AU,1682462945
162,klaksvik,62.2266,-6.589,0.51,60,100,9.22,FO,1682462946
163,puerto aysen,-45.4,-72.7,9.36,98,89,1.18,CL,1682462827
164,georgetown,5.4112,100.3354,26.96,94,40,0.51,MY,1682462639
165,puerto rico,-26.796,-55.024,19.32,99,100,0.34,AR,1682462631
166,tadine,-21.55,167.8833,25.9,77,100,5.01,NC,1682462948
167,cambria,35.5641,-121.0808,29.37,61,27,5.09,US,1682462948
168,punta arenas,-53.15,-70.9167,7.06,70,40,6.69,CL,1682462861
169,oudtshoorn,-33.5907,22.2014,15.2,89,32,1.24,ZA,1682462949
170,flin flon,54.7682,-101.865,5.91,42,100,6.17,CA,1682462683
171,el calafate,-50.3408,-72.2768,6.52,70,5,2.98,AR,1682462898
172,polyarnyy,69.1989,33.4478,-8.05,92,51,2.54,RU,1682462950
173,longyearbyen,78.2186,15.6401,-8.09,79,0,1.03,SJ,1682462951
174,rainsville,34.4943,-85.8477,19.17,39,100,2.57,US,1682462952
175,murray bridge,-35.1167,139.2667,24.51,49,94,6.14,AU,1682462952
176,kijang,35.2442,129.2139,9.85,69,6,2.8,KR,1682462952
177,hilo,19.7297,-155.09,28.49,65,0,4.12,US,1682462953
178,la'ie,21.6477,-157.9253,28.98,80,99,2.68,US,1682462953
179,mongomo,1.6274,11.3135,19.43,97,100,0.87,GQ,1682462954
180,levuka,50.1834,-105.4011,11.85,54,75,10.29,CA,1682462954
181,mutsu,41.2894,141.2169,10.76,88,100,8.5,JP,1682462955
182,dakhla,23.6848,-15.958,19.2,91,0,5.79,EH,1682462956
183,amherst,41.3978,-82.2224,9.45,81,100,3.6,US,1682462956
184,lebu,-37.6167,-73.65,13.94,80,100,2.47,CL,1682462833
185,palikir - national government center,6.9248,158.1611,29.41,74,75,2.57,FM,1682462956
186,port mathurin,-19.6833,63.4167,25.94,81,12,6.86,MU,1682462957
187,jiamusi,46.8333,130.35,6.43,34,0,3.84,CN,1682462957
188,hawaiian paradise park,19.5933,-154.9731,27.8,61,0,4.12,US,1682462640
189,lionel town,17.8101,-77.2406,29.94,64,83,1.42,JM,1682462958
190,urengoy,65.9667,78.3667,-12.22,97,93,2.36,RU,1682462959
191,ribeira grande,38.5167,-28.7,17.65,94,20,5.36,PT,1682462622
192,swan hill,-35.3378,143.5544,18.93,55,31,4.43,AU,1682462960
193,carutapera,-1.195,-46.02,24.69,92,21,2.38,BR,1682462960
194,praia da vitoria,38.7333,-27.0667,18.14,82,20,5.06,PT,1682462961
195,murzuq,25.9155,13.9184,24.28,23,0,5.96,LY,1682462962
196,bayanaul,50.7889,75.6956,7.66,72,9,3.73,KZ,1682462962
197,ilulissat,69.2167,-51.1,1.01,93,100,2.57,GL,1682462630
198,prainha,-1.8,-53.48,24.51,91,94,1.2,BR,1682462964
199,viedma,-40.8135,-62.9967,19.98,50,100,1.73,AR,1682462964
200,cole harbour,44.6724,-63.4751,7.66,65,40,4.63,CA,1682462965
201,ugoofaaru,5.6667,73.0,28.69,72,69,4.08,MV,1682462692
202,quellon,-43.1167,-73.6167,10.14,100,100,0.0,CL,1682462966
203,makhambet,47.6667,51.5833,17.49,52,100,4.26,KZ,1682462967
